,Brand,Model,Type,Dimension (in),Screen Resolution,CPU Brand,CPU Model,CPU Frequency (GHz),GPU Brand,GPU Model,RAM (GB),HDD,SSD,OS,Weight (kg),Price (Euro)
121,Acer,Swift 7,Ultrabook,13.3,1920x1080,Intel,Core i5 7Y54,1.2,Intel,HD Graphics 615,8,False,True,Windows,1.12,989.0
122,Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,8,True,,Windows,2.8,1085.0
123,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,1600x900,Intel,Core i5 8250U,1.6,Nvidia,GeForce MX150,8,False,True,No OS,2.8,698.0
124,HP,ProBook 470,Notebook,17.3,1920x1080,Intel,Core i5 8250U,1.6,Nvidia,GeForce 930MX,8,True,False,Windows,2.5,914.0
125,HP,ProBook 430,Notebook,13.3,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,8,False,,Windows,1.49,959.0
126,HP,Omen 17-W295,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,16,True,True,Windows,3.35,1379.0
127,HP,Probook 470,Notebook,17.3,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce 930MX,8,False,True,Windows,2.5,1045.0
128,Dell,Inspiron 7577,Gaming,15.6,3840x2160,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,16,,True,Windows,2.65,1845.0
129,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,1366x768,Intel,Core i5 6200U,2.3,Intel,HD Graphics 520,4,False,True,Windows,2.1,493.0
130,Acer,Aspire E5-576G,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,8,True,False,Windows,2.23,742.0
131,Lenovo,Legion Y720-15IKB,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,16,,True,Windows,,1749.0
132,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,16,False,True,No OS,,1398.0
133,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,6,True,False,Windows,2.3,439.0
134,Dell,XPS 13,Ultrabook,13.3,3840x2160,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,8,False,True,Windows,,1949.0
135,Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,8,False,True,Windows,1.2,1449.0
136,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,True,Windows,2.2,597.0
137,Acer,Aspire 7,Notebook,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,True,False,Linux,2.4,779.0
138,Asus,ROG GL703VD-GC028T,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,16,True,True,Windows,2.9,1407.0
139,HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,,False,No OS,2.1,349.0
